ROUTE_NO;STOP_NAME;TIMING;LATITUDE;LONGITUDE
42;"BALAJI DENTAL COLLEGE";07:22:00;12.944341;80.208436
42;PALLIKARANI;07:25:00;12.932829;80.204043
42;"JEYACHANDRAN TEXTILES";07:28:00;12.921385;80.197136
42;VIT;07:50:00;12.840658;80.153187
AF1;"VIT ";13:45:00;12.840658;80.153187
AF1;VANDALUR;14:00:00;12.879026;80.080709
AF1;PERUNGALATHUR;14:05:00;12.905615;80.095901
AF1;TAMABARM;14:15:00;12.936581;80.127358
AF2;VIT;13:45:00;12.840658;80.153187
AF2;"VANDALUR GATE";14:00:00;12.892265;80.085593
AF2;PERUNGALATHUR;14:05:00;12.905615;80.095901
AF2;IRUMBULIYUR;14:10:00;12.905615;80.095901
AF2;TAMBARAM;14:15:00;12.936581;80.127358
AF2;"CHROMPET ";14:20:00;12.951459;80.140176
AF2;PALLAVARAM;14:30:00;12.968942;80.149693
AF2;MEENAMBAKKAM;14:35:00;12.986499;80.174624
AF2;"NANGANALLUR PETROL BUNK";14:40:00;12.993936;80.185254
AF2;"ALANTHUR METRO";14:50:00;13.003944;80.200878
AF3;VIT;13:45:00;12.840658;80.153187
AF3;KELAMBAKKAM;14:00:00;12.789834;80.221608
AF3;PADUR;14:05:00;12.805331;80.224004
AF3;NAVALUR;14:10:00;12.844739;80.226566
AF3;"KUMARAN NAGAR";14:15:00;12.877552;80.226812
AF3;SHOLINGANALLUR;14:20:00;12.898815;80.227734
AF4;VIT;13:45:00;12.840658;80.153187
AF4;MAMBAKKAM;13:50:00;12.827745;80.165147
AF4;SBIOA;13:55:00;12.837386;80.169209
AF4;"CHITALAPAKKAM KOOT ROAD";14:05:00;12.897473;80.181942
AF4;CHITALAPAKKAM;14:15:00;12.909576;80.191161
AF4;MEDAVAKKAM;14:20:00;12.916443130222728;80.19225033005662
AF4;PALLIKARANAI;14:30:00;12.933762;80.203799
AF4;"BALAJI DENTAL COLLEGE";14:35:00;12.944351;80.208294
AF4;"VIJAYANAGAR JUNCTION";14:45:00;12.974873;80.220373
