ROUTE_NO;STOP_NAME;TIMING;LATITUDE;LONGITUDE
11;"STERLING ROAD";06:25:00;13.065518;80.242178
11;"VALLUVAR KOTTAM";06:28:00;13.05374;80.242306
11;POTHYS(T.NAGAR);06:30:00;13.040304;80.231887
11;"VIT ";07:50:00;12.840658;80.153187
"11A ";"AYODHYA MANDAPAM";06:45:00;13.039688;80.221364
"11A ";"VELACHERY RAILWAY STATION";07:20:00;12.968126;80.218056
"11A ";PALLIKARANI;07:30:00;12.932824;80.204041
"11A ";"MEDAVAKKAM JUNCTION";07:35:00;12.916961;80.193635
"11A ";"VIT ";07:50:00;12.840658;80.153187
12;REDHILLS;06:05:00;13.193093;80.184212
12;KAVANKARAI;06:10:00;13.17023;80.199634
12;"PUZAL CAMP";06:15:00;13.158219;80.203782
12;SURAPET;06:20:00;13.144464;80.188363
12;KALIKUPPAM;06:25:00;13.13327;80.173786
12;PUDHUR;06:30:00;13.130754;80.159142
12;VANDALUR;07:30:00;12.879026;80.080709
12;VIT;07:45:00;12.840658;80.153187
12A;"AMBATTUR OT";06:35:00;13.119556;80.14996
12A;DUNLOP;06:45:00;22.652412;88.377252
12A;"AMBATTUR EXCHANGE";06:50:00;13.101528;80.161804
12A;VANDALUR;07:30:00;12.879026;80.080709
12A;VIT;07:45:00;12.840658;80.153187
13;MANDAVELI;06:25:00;13.026809;80.266083
13;"KALIYAPPA HOSPITAL";06:28:00;13.027104;80.255835
13;"MOOPANAR BRIDGE";06:30:00;13.027414;80.244763
13;"DEVAR  STATUE ";06:35:00;13.116531;80.254269
13;VIT;07:50:00;12.840658;80.153187
13A;"SAIDAPET ";06:40:00;13.0126;80.226961
13A;"GUINDY RACE COURCE ";06:45:00;13.008036;80.21325
13A;"ADAMBAKKAM POLICE BOOTH";06:55:00;12.991379;80.19448
13A;"NGO COLONY";06:58:00;12.989964;80.20647
13A;VIT;07:50:00;12.840658;80.153187
13B;"BALAJI DENTAL COLLEGE";07:10:00;12.94433;80.208284
13B;JEYACHANDRAN;07:15:00;12.921485;80.197165
13B;"MEDAVAKKAM JUNCTION";07:25:00;12.916911;80.193675
13B;"KALISWARY OIL MILL";07:30:00;12.903008;80.184415
13B;VIT;07:50:00;12.840658;80.153187
14;TRIPLICANE;06:15:00;13.058348;80.27671
14;ROYAPETTAH;06:20:00;13.046422;80.260436
14;"ALWARPET JUNCTION";06:30:00;13.035045;80.25456
14;"TTK ROAD, CHAMIERS ROAD JUNCTION";06:35:00;13.028642;80.250067
14;"VIT ";07:50:00;12.840658;80.153187
14A;GANDHIMANDAPAM;06:45:00;13.007467;80.236808
14A;"PHOENIX MALL";06:55:00;12.991022;80.219487
14A;"VELACHERY   100 FEET ROAD";07:10:00;12.975231;80.220799
14A;"VIT ";07:50:00;12.840658;80.153187
14B;"VELACHERY  BUS STAND";07:12:00;12.975946;80.221065
14B;VIJAYANAGAR;07:15:00;12.971201;80.218914
14B;"MEDAVAKKAM MAMBAKKAM JUNCTION";07:30:00;12.91693;80.193659
14B;"VIT ";07:50:00;12.840658;80.153187
15;TIRUVOTTIYUR;06:00:00;13.175109;80.306091
15;N-4;06:10:00;13.082122;80.168672
15;"KASIMADU SIGNAL";06:15:00;13.125531;80.294672
15;KALMANDAPAM;06:17:00;10.772457;76.672853
15;"BEACH STATION";06:18:00;13.094168;80.292199
15;"PARRY'S CORNOR";06:20:00;13.089205;80.290525
15;KELAMBAKKAM;07:35:00;12.792334;80.216716
15;VIT;07:50:00;12.840658;80.153187
"15A ";PARRY'S;06:20:00;13.084823;80.283362
"15A ";EZHILAGAM;06:25:00;13.064355;80.282063
"15A ";"KANNAGI STATUE";06:28:00;13.056783;80.281925
"15A ";"ALL INDIA RADIO";06:33:00;13.038944;80.278759
"15A ";KELAMBAKKAM;07:35:00;12.792302;80.216871
"15A ";VIT;07:50:00;12.840658;80.153187
15B;SANTHOME;06:35:00;13.02997;80.276825
